Model,MAE,RMSE,R²,CV R² (mean),CV R² (std)
Linear Regression,2.5708993155352218,3.4423315126359117,0.892361091048935,0.8687349456071211,0.019170205671685547
Ridge Regression,2.5714056715972737,3.447012348208147,0.8920681601737205,0.8686229228795339,0.01901455277131027
Gradient Boosting,2.6926994061923977,3.5787462475971226,0.883660896415924,0.8416563239685576,0.010077465344960672
Random Forest,2.785680073462194,3.725515235481329,0.8739227900660438,0.8475598697059376,0.01294165212739494
Decision Tree,3.364741878481602,4.497122299588988,0.816289787878844,0.7652722094875977,0.02807037554726317
